Column1,column ID,ID,Age,Customer_type,Gross_income,Net_income,Valid,SEX,Type_of_industry,Marital_Status,Months_in_city,Months_in_current_job,Org_Type,Debt_ratio,Target,ENQ_1,ENQ_2,ENQ_3,ENQ_4,ENQ_5,ENQ_6,ENQ_7,ENQ_8,ACCOUNT_9,ACCOUNT_10,ACCOUNT_11,ACCOUNT_12,ACCOUNT_13,ACCOUNT_14,ACCOUNT_15,ACCOUNT_16,ACCOUNT_17,ACCOUNT_18,ACCOUNT_19,ACCOUNT_20,ACCOUNT_21,bank_balance
1,1,1794,40,SALARIED,70891,62491,1,MALE,OTHERS,MARRIED,229,108,INDIVIDUAL,0.19,0,324,0,0,0,1,0,14,0,0,0,1486,9,0,8,2,0,2,275606,0,275606,5311,37806
2,2,3183,35,SALARIED,53617,53617,1,MALE,OTHERS,MARRIED,408,60,INDIVIDUAL,0.42,0,616,1978,0,0,0,0,11,1,5,5,1912,8,0,6,1,0,0,4844,4824,20,5289,15499
3,5,3125,45,SELF EMPLOYED,36526,36526,1,MALE,OTHERS,MARRIED,540,22,INDIVIDUAL,0.48,0,33,0,1,0,1,0,2,0,5,5,3310,2,0,0,1,0,0,2781,2781,0,5093,28520
4,6,2608,51,SALARIED,33494,33494,1,MALE,OTHERS,MARRIED,180,240,INDIVIDUAL,0.34,0,823,0,0,0,0,0,2,0,0,0,1818,2,1,0,1,1,0,62218,62218,0,5037,170096.472
5,7,3602,48,SELF EMPLOYED,74455.58,74455.58,1,MALE,OTHERS,MARRIED,0,0,INDIVIDUAL,0.05,0,5,29,4,3,5,3,9,7,0,0,4419,3,2,1,1,1,0,326549,326549,0,4869,122649
6,8,3633,50,SELF EMPLOYED,36040,36040,1,MALE,OTHERS,MARRIED,360,1,INDIVIDUAL,0.38,0,0,0,0,0,0,0,0,0,0,2,4868,1,0,1,1,0,1,196869,0,196869,4868,3026
7,9,3263,50,SALARIED,72924,72924,1,MALE,OTHERS,MARRIED,60,0,GOVT (ONLY FOR SALARIED),0.55,0,63,63,1,1,1,1,2,1,0,0,503,6,0,6,1,0,1,3526,0,3526,4802,35279
8,10,1034,29,SALARIED,16058,16058,1,MALE,OTHERS,SINGLE,12,30,LISTED - PUBLIC LIMITED,0.39,0,0,0,0,0,0,0,0,0,0,0,4770,1,0,1,1,0,1,125323,0,125323,4770,1528
9,11,1203,45,SELF EMPLOYED,53615.67,53615.67,1,MALE,OTHERS,MARRIED,0,541,INDIVIDUAL,0.21,0,489,489,0,0,0,0,1,1,0,0,4707,1,1,0,1,1,0,1053758,1053758,0,4707,17694
10,12,3315,41,SELF EMPLOYED,42066.67,42066.67,1,MALE,METALS,MARRIED,420,70,INDIVIDUAL,0.7,0,42,45,2,1,5,2,32,5,5,5,521,23,0,19,2,0,2,1049054,113752,935302,4706,107366
11,13,3496,57,SELF EMPLOYED,41657.5,41657.5,1,MALE,OTHERS,MARRIED,0,7,INDIVIDUAL,1.02,0,1310,0,0,0,0,0,6,0,2,2,3995,4,1,3,3,1,2,795123,682145,112978,4609,289610
12,14,2849,58,SELF EMPLOYED,150000,150000,1,MALE,PROFESSIONAL SERVICES,MARRIED,480,34,INDIVIDUAL,1.23,0,3,3,1,1,3,2,10,4,0,0,2456,3,0,1,1,0,1,0,0,0,4521,61483
13,16,2181,50,SELF EMPLOYED,66083.33,66083.33,1,MALE,OTHERS,MARRIED,0,132,INDIVIDUAL,0.64,0,19,19,3,3,3,3,6,3,0,0,448,8,0,6,1,0,1,6,0,6,4402,170096.472
14,19,1709,47,SALARIED,34730,27630,1,MALE,OTHERS,MARRIED,516,228,INDIVIDUAL,0.54,0,680,744,0,0,0,0,7,1,0,0,4246,6,0,6,1,0,1,0,0,0,4246,7114
15,20,1866,46,SELF EMPLOYED,27789.17,27789.17,1,MALE,OTHERS,MARRIED,0,240,INDIVIDUAL,0.27,0,851,0,0,0,0,0,2,0,0,0,851,4,0,3,1,0,0,0,0,0,4231,2214
